Gene ID	Species	GeneName	Symbol
NM_001004707	124538	Homo sapiens	olfactory receptor family 4 subfamily D member 2(OR4D2)	OR4D2
NM_001004705	390197	Homo sapiens	olfactory receptor family 4 subfamily D member 10(OR4D10)	OR4D10
NM_001004720	8440	Homo sapiens	NCK adaptor protein 2(NCK2)	NCK2
NM_001004724	390437	Homo sapiens	olfactory receptor family 4 subfamily N member 5(OR4N5)	OR4N5
NM_001004722	8440	Homo sapiens	NCK adaptor protein 2(NCK2)	NCK2
NM_001004723	390429	Homo sapiens	olfactory receptor family 4 subfamily N member 2(OR4N2)	OR4N2
NM_001004729	390195	Homo sapiens	olfactory receptor family 5 subfamily AN member 1(OR5AN1)	OR5AN1
NM_001004726	390113	Homo sapiens	olfactory receptor family 4 subfamily X member 1 (gene/pseudogene)(OR4X1)	OR4X1
NM_001004713	126370	Homo sapiens	olfactory receptor family 1 subfamily I member 1(OR1I1)	OR1I1
NM_001004715	390436	Homo sapiens	olfactory receptor family 4 subfamily K member 17(OR4K17)	OR4K17
NR_002555	613037	Homo sapiens	nuclear pore complex interacting protein family, member B13(NPIPB13)	NPIPB13
NM_001004719	390538	Homo sapiens	olfactory receptor family 4 subfamily M member 2(OR4M2)	OR4M2
NM_001109903	84900	Homo sapiens	ring finger protein, transmembrane 2(RNFT2)	RNFT2
NM_005698	10067	Homo sapiens	secretory carrier membrane protein 3(SCAMP3)	SCAMP3
NM_199190	113251	Homo sapiens	La ribonucleoprotein domain family member 4(LARP4)	LARP4
NM_199191	9577	Homo sapiens	brain and reproductive organ-expressed (TNFRSF1A modulator)(BRE)	BRE
NM_199192	9577	Homo sapiens	brain and reproductive organ-expressed (TNFRSF1A modulator)(BRE)	BRE
NM_199193	9577	Homo sapiens	brain and reproductive organ-expressed (TNFRSF1A modulator)(BRE)	BRE
NM_199194	9577	Homo sapiens	brain and reproductive organ-expressed (TNFRSF1A modulator)(BRE)	BRE
NM_199189	9782	Homo sapiens	matrin 3(MATR3)	MATR3
NM_199188	113251	Homo sapiens	La ribonucleoprotein domain family member 4(LARP4)	LARP4
NM_001163121	201299	Homo sapiens	RAD52 motif containing 1(RDM1)	RDM1
NM_001163120	201299	Homo sapiens	RAD52 motif containing 1(RDM1)	RDM1
NM_001163122	201299	Homo sapiens	RAD52 motif containing 1(RDM1)	RDM1
NM_001163125	201299	Homo sapiens	RAD52 motif containing 1(RDM1)	RDM1
NM_001163124	201299	Homo sapiens	RAD52 motif containing 1(RDM1)	RDM1
NM_001142590	4802	Homo sapiens	nuclear transcription factor Y subunit gamma(NFYC)	NFYC
NM_199173	632	Homo sapiens	bone gamma-carboxyglutamate protein(BGLAP)	BGLAP
NM_202470	10755	Homo sapiens	GIPC PDZ domain containing family member 1(GIPC1)	GIPC1
NM_199170	56937	Homo sapiens	prostate transmembrane protein, androgen induced 1(PMEPA1)	PMEPA1
NM_199171	56937	Homo sapiens	prostate transmembrane protein, androgen induced 1(PMEPA1)	PMEPA1
NM_202467	10755	Homo sapiens	GIPC PDZ domain containing family member 1(GIPC1)	GIPC1
NM_001163147	2115	Homo sapiens	ETS variant 1(ETV1)	ETV1
NM_202468	10755	Homo sapiens	GIPC PDZ domain containing family member 1(GIPC1)	GIPC1
NM_202469	10755	Homo sapiens	GIPC PDZ domain containing family member 1(GIPC1)	GIPC1
NM_199167	27098	Homo sapiens	clusterin like 1(CLUL1)	CLUL1
NM_199166	211	Homo sapiens	5'-aminolevulinate synthase 1(ALAS1)	ALAS1
NM_199169	56937	Homo sapiens	prostate transmembrane protein, androgen induced 1(PMEPA1)	PMEPA1
NM_199168	6387	Homo sapiens	C-X-C motif chemokine ligand 12(CXCL12)	CXCL12
NM_001142596	5033	Homo sapiens	prolyl 4-hydroxylase subunit alpha 1(P4HA1)	P4HA1
NM_001142597	10978	Homo sapiens	cleavage and polyadenylation factor I subunit 1(CLP1)	CLP1
NM_001142598	8974	Homo sapiens	prolyl 4-hydroxylase subunit alpha 2(P4HA2)	P4HA2
NM_001142599	8974	Homo sapiens	prolyl 4-hydroxylase subunit alpha 2(P4HA2)	P4HA2
NM_001163149	2115	Homo sapiens	ETS variant 1(ETV1)	ETV1
NM_001163148	2115	Homo sapiens	ETS variant 1(ETV1)	ETV1
NM_001142593	3705	Homo sapiens	inositol-tetrakisphosphate 1-kinase(ITPK1)	ITPK1
NM_001142594	3705	Homo sapiens	inositol-tetrakisphosphate 1-kinase(ITPK1)	ITPK1
NM_001142595	5033	Homo sapiens	prolyl 4-hydroxylase subunit alpha 1(P4HA1)	P4HA1
NM_199186	669	Homo sapiens	bisphosphoglycerate mutase(BPGM)	BPGM
NM_199187	3875	Homo sapiens	keratin 18(KRT18)	KRT18
NM_199184	10591	Homo sapiens	2'-deoxynucleoside 5'-phosphate N-hydrolase 1(DNPH1)	DNPH1
NM_199185	4869	Homo sapiens	nucleophosmin(NPM1)	NPM1
NM_199183	377047	Homo sapiens	protease, serine 45(PRSS45)	PRSS45
NM_199180	84063	Homo sapiens	kin of IRRE like 2 (Drosophila)(KIRREL2)	KIRREL2
NM_199181	140710	Homo sapiens	suppressor of glucose, autophagy associated 1(SOGA1)	SOGA1
NM_001109938	221545	Homo sapiens	chromosome 6 open reading frame 136(C6orf136)	C6orf136
NM_199179	84063	Homo sapiens	kin of IRRE like 2 (Drosophila)(KIRREL2)	KIRREL2
NM_001163130	201299	Homo sapiens	RAD52 motif containing 1(RDM1)	RDM1
NM_001142589	4802	Homo sapiens	nuclear transcription factor Y subunit gamma(NFYC)	NFYC
NM_199177	92399	Homo sapiens	mitochondrial ribosome recycling factor(MRRF)	MRRF
NM_001142587	4802	Homo sapiens	nuclear transcription factor Y subunit gamma(NFYC)	NFYC
NM_001142588	4802	Homo sapiens	nuclear transcription factor Y subunit gamma(NFYC)	NFYC
NR_002562	9300	Homo sapiens	small nucleolar RNA, C/D box 28(SNORD28)	snord28
NR_002561	9299	Homo sapiens	small nucleolar RNA, C/D box 30(SNORD30)	snord30
NR_002560	9298	Homo sapiens	small nucleolar RNA, C/D box 31(SNORD31)	snord31
NR_002565	9303	Homo sapiens	small nucleolar RNA, C/D box 25(SNORD25)	snord25
NM_202494	10755	Homo sapiens	GIPC PDZ domain containing family member 1(GIPC1)	GIPC1
NM_199144	7335	Homo sapiens	ubiquitin conjugating enzyme E2 V1(UBE2V1)	UBE2V1
NR_002559	9297	Homo sapiens	small nucleolar RNA, C/D box 29(SNORD29)	snord29
NR_002557	613038	Homo sapiens	SAGA complex associated factor 29 pseudogene(LOC613038)	LOC613038
NR_002572	26790	Homo sapiens	small nucleolar RNA, C/D box 58B(SNORD58B)	Snord58b
NM_199161	6288	Homo sapiens	serum amyloid A1(SAA1)	SAA1
NM_199160	26468	Homo sapiens	LIM homeobox 6(LHX6)	LHX6
NR_002574	26771	Homo sapiens	small nucleolar RNA, C/D box 102(SNORD102)	SNORD102
NR_002576	619505	Homo sapiens	small nucleolar RNA, H/ACA box 21(SNORA21)	Snora21
NM_199165	122622	Homo sapiens	adenylosuccinate synthase like 1(ADSSL1)	ADSSL1
NM_001109997	123103	Homo sapiens	kelch like family member 33(KLHL33)	KLHL33
NR_002575	619499	Homo sapiens	small nucleolar RNA, H/ACA box 27(SNORA27)	SNORA27
NR_002578	60674	Homo sapiens	growth arrest specific 5 (non-protein coding)(GAS5)	gas5
NM_199162	113622	Homo sapiens	ADP-ribosylhydrolase like 1(ADPRHL1)	ADPRHL1
NM_001004737	402135	Homo sapiens	olfactory receptor family 5 subfamily K member 2(OR5K2)	OR5K2
NM_001004734	401994	Homo sapiens	olfactory receptor family 14 subfamily I member 1(OR14I1)	OR14I1
NM_001004733	390191	Homo sapiens	olfactory receptor family 5 subfamily B member 12(OR5B12)	OR5B12
NM_001004731	390445	Homo sapiens	olfactory receptor family 5 subfamily AU member 1(OR5AU1)	or5au1
NR_002570	1564	Homo sapiens	cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene)(CYP2D7)	CYP2D7
NR_002569	619383	Homo sapiens	small Cajal body-specific RNA 9(SCARNA9)	Scarna9
NR_002589	26798	Homo sapiens	small nucleolar RNA, C/D box 51(SNORD51)	SNORD51
NR_002588	619568	Homo sapiens	small nucleolar RNA, H/ACA box 4(SNORA4)	SNORA4
NM_199132	90333	Homo sapiens	zinc finger protein 468(ZNF468)	ZNF468
NR_002587	619567	Homo sapiens	small nucleolar RNA, C/D box 2(SNORD2)	Snord2
NR_002586	6043	Homo sapiens	small nucleolar RNA, H/ACA box 63(SNORA63)	SNORA63
NM_199131	11023	Homo sapiens	ventral anterior homeobox 1(VAX1)	VAX1
NR_002585	619565	Homo sapiens	small nucleolar RNA, H/ACA box 52(SNORA52)	Snora52
NR_002584	26779	Homo sapiens	small nucleolar RNA, H/ACA box 69(SNORA69)	Snora69
NR_002581	26775	Homo sapiens	small nucleolar RNA, H/ACA box 72(SNORA72)	SNORA72
NM_000694	221	Homo sapiens	aldehyde dehydrogenase 3 family member B1(ALDH3B1)	ALDH3B1
NR_002580	619562	Homo sapiens	small nucleolar RNA, H/ACA box 3A(SNORA3A)	SNORA3A
NM_000693	220	Homo sapiens	aldehyde dehydrogenase 1 family member A3(ALDH1A3)	ALDH1A3
NM_000696	223	Homo sapiens	aldehyde dehydrogenase 9 family member A1(ALDH9A1)	ALDH9A1
NM_000695	222	Homo sapiens	aldehyde dehydrogenase 3 family member B2(ALDH3B2)	aldh3b2
NM_000698	240	Homo sapiens	arachidonate 5-lipoxygenase(ALOX5)	ALOX5
NM_000697	239	Homo sapiens	arachidonate 12-lipoxygenase, 12S type(ALOX12)	ALOX12
NM_000699	279	Homo sapiens	amylase, alpha 2A (pancreatic)(AMY2A)	amy2a
NM_199126	199704	Homo sapiens	zinc finger protein 585A(ZNF585A)	ZNF585A
NM_199127	91227	Homo sapiens	gamma-glutamyltransferase light chain 2(GGTLC2)	GGTLC2
NM_199129	387521	Homo sapiens	transmembrane protein 189(TMEM189)	TMEM189
NM_199122	9238	Homo sapiens	transforming growth factor beta regulator 4(TBRG4)	TBRG4
NM_199123	84193	Homo sapiens	SET domain containing 3(SETD3)	SETD3
NM_199124	79864	Homo sapiens	chromosome 11 open reading frame 63(C11orf63)	C11orf63
NR_002598	641648	Homo sapiens	small nucleolar RNA, C/D box 87(SNORD87)	Snord87
NM_199141	10498	Homo sapiens	coactivator associated arginine methyltransferase 1(CARM1)	CARM1
NM_001109974	11346	Homo sapiens	synaptopodin(SYNPO)	SYNPO
NR_002599	641638	Homo sapiens	small nucleolar RNA host gene 6(SNHG6)	SNHG6
NM_001004759	401665	Homo sapiens	olfactory receptor family 51 subfamily T member 1(OR51T1)	OR51T1
NR_002594	387254	Homo sapiens	solute carrier family 7 member 5 pseudogene 2(SLC7A5P2)	SLC7A5P2
NR_002593	81893	Homo sapiens	solute carrier family 7 member 5 pseudogene 1(SLC7A5P1)	SLC7A5P1
NR_002596	10737	Homo sapiens	RFPL3 antisense(RFPL3S)	RFPL3S
NR_002595	641311	Homo sapiens	ribosomal protein L31 pseudogene 11(RPL31P11)	RPL31P11
NR_002590	619569	Homo sapiens	small nucleolar RNA, H/ACA box 41(SNORA41)	Snora41
NM_000685	185	Homo sapiens	angiotensin II receptor type 1(AGTR1)	AGTR1
NM_001004754	390064	Homo sapiens	olfactory receptor family 51 subfamily I member 2(OR51I2)	OR51I2
NM_000684	153	Homo sapiens	adrenoceptor beta 1(ADRB1)	ADRB1
NM_000683	152	Homo sapiens	adrenoceptor alpha 2C(ADRA2C)	ADRA2C
NR_002591	619570	Homo sapiens	small nucleolar RNA, C/D box 95(SNORD95)	Snord95
NM_000682	151	Homo sapiens	adrenoceptor alpha 2B(ADRA2B)	ADRA2B
NM_000689	216	Homo sapiens	aldehyde dehydrogenase 1 family member A1(ALDH1A1)	ALDH1A1
NM_000688	211	Homo sapiens	5'-aminolevulinate synthase 1(ALAS1)	ALAS1
NM_001004757	390061	Homo sapiens	olfactory receptor family 51 subfamily Q member 1 (gene/pseudogene)(OR51Q1)	OR51Q1
NM_000687	191	Homo sapiens	adenosylhomocysteinase(AHCY)	AHCY
NM_001004756	390059	Homo sapiens	olfactory receptor family 51 subfamily M member 1(OR51M1)	OR51M1
NM_000686	186	Homo sapiens	angiotensin II receptor type 2(AGTR2)	AGTR2
NM_000691	218	Homo sapiens	aldehyde dehydrogenase 3 family member A1(ALDH3A1)	aldh3a1
NM_000692	219	Homo sapiens	aldehyde dehydrogenase 1 family member B1(ALDH1B1)	ALDH1B1
NM_001004750	390058	Homo sapiens	olfactory receptor family 51 subfamily B member 6(OR51B6)	OR51B6
NM_000690	217	Homo sapiens	aldehyde dehydrogenase 2 family (mitochondrial)(ALDH2)	ALDH2
NM_199139	54739	Homo sapiens	XIAP associated factor 1(XAF1)	XAF1
NM_199138	219287	Homo sapiens	APC membrane recruitment protein 2(AMER2)	AMER2
NM_199135	286380	Homo sapiens	forkhead box D4-like 3(FOXD4L3)	FOXD4L3
NM_199136	340277	Homo sapiens	family with sequence similarity 221 member A(FAM221A)	FAM221A
NM_001109977	729830	Homo sapiens	family with sequence similarity 160 member A1(FAM160A1)	FAM160A1
NM_199133	134145	Homo sapiens	family with sequence similarity 173 member B(FAM173B)	FAM173B
NM_001163079	27439	Homo sapiens	cat eye syndrome chromosome region, candidate 6(CECR6)	CECR6
NM_001142648	56681	Homo sapiens	secretion associated Ras related GTPase 1A(SAR1A)	SAR1A
NM_001142649	203859	Homo sapiens	anoctamin 5(ANO5)	ANO5
NM_001163075	100141515	Homo sapiens	chromosome 17 open reading frame 99(C17orf99)	C17orf99
NM_001142644	80309	Homo sapiens	SPHK1 interactor, AKAP domain containing(SPHKAP)	SPHKAP
NM_001142645	100131211	Homo sapiens	nuclear envelope integral membrane protein 2(NEMP2)	NEMP2
NM_199235	78989	Homo sapiens	collectin subfamily member 11(COLEC11)	COLEC11
NM_001142646	131601	Homo sapiens	transmembrane protein adipocyte associated 1(TPRA1)	TPRA1
NM_199234	2668	Homo sapiens	glial cell derived neurotrophic factor(GDNF)	GDNF
NM_001142640	57690	Homo sapiens	trinucleotide repeat containing 6C(TNRC6C)	TNRC6C
NM_001025591	284402	Homo sapiens	secretoglobin family 2B member 2(SCGB2B2)	SCGB2B2
NM_001142641	57666	Homo sapiens	fibrosin like 1(FBRSL1)	FBRSL1
NM_001142643	57513	Homo sapiens	CASK interacting protein 2(CASKIN2)	CASKIN2
NM_001025595	27236	Homo sapiens	ADP ribosylation factor interacting protein 1(ARFIP1)	arfip1
NM_001025593	27236	Homo sapiens	ADP ribosylation factor interacting protein 1(ARFIP1)	arfip1
NM_000791	1719	Homo sapiens	dihydrofolate reductase(DHFR)	DHFR
NM_000790	1644	Homo sapiens	dopa decarboxylase(DDC)	DDC
NM_022822	64837	Homo sapiens	kinesin light chain 2(KLC2)	KLC2
NM_000781	1583	Homo sapiens	cytochrome P450 family 11 subfamily A member 1(CYP11A1)	CYP11A1
NM_001025598	257106	Homo sapiens	Rho GTPase activating protein 30(ARHGAP30)	ARHGAP30
NM_022823	64838	Homo sapiens	fibronectin type III domain containing 4(FNDC4)	FNDC4
NM_014410	27098	Homo sapiens	clusterin like 1(CLUL1)	CLUL1
NM_000782	1591	Homo sapiens	cytochrome P450 family 24 subfamily A member 1(CYP24A1)	cyp24a1
NM_014413	27102	Homo sapiens	eukaryotic translation initiation factor 2 alpha kinase 1(EIF2AK1)	EIF2AK1
NM_000783	1592	Homo sapiens	cytochrome P450 family 26 subfamily A member 1(CYP26A1)	CYP26A1
NM_001025596	10658	Homo sapiens	CUGBP, Elav-like family member 1(CELF1)	CELF1
NM_022825	64840	Homo sapiens	porcupine homolog (Drosophila)(PORCN)	porcn
NM_014412	27101	Homo sapiens	calcyclin binding protein(CACYBP)	CACYBP
NM_000784	1593	Homo sapiens	cytochrome P450 family 27 subfamily A member 1(CYP27A1)	CYP27A1
NM_022826	64844	Homo sapiens	membrane associated ring-CH-type finger 7(MARCH7)	MARCH7
NM_014415	27107	Homo sapiens	zinc finger and BTB domain containing 11(ZBTB11)	ZBTB11
NM_005607	5747	Homo sapiens	protein tyrosine kinase 2(PTK2)	PTK2
NM_000785	1594	Homo sapiens	cytochrome P450 family 27 subfamily B member 1(CYP27B1)	CYP27B1
NM_022827	64847	Homo sapiens	spermatogenesis associated 20(SPATA20)	SPATA20
NM_005608	5790	Homo sapiens	protein tyrosine phosphatase, receptor type C associated protein(PTPRCAP)	PTPRCAP
NM_000786	1595	Homo sapiens	cytochrome P450 family 51 subfamily A member 1(CYP51A1)	CYP51A1
NM_022828	64848	Homo sapiens	YTH domain containing 2(YTHDC2)	YTHDC2
NM_014417	27113	Homo sapiens	BCL2 binding component 3(BBC3)	BBC3
NM_005609	5837	Homo sapiens	phosphorylase, glycogen, muscle(PYGM)	PYGM
NM_000787	1621	Homo sapiens	dopamine beta-hydroxylase(DBH)	DBH
NM_022829	64849	Homo sapiens	solute carrier family 13 member 3(SLC13A3)	SLC13A3
NM_000788	1633	Homo sapiens	deoxycytidine kinase(DCK)	DCK
NM_014419	27120	Homo sapiens	dickkopf like acrosomal protein 1(DKKL1)	DKKL1
NM_005603	5205	Homo sapiens	ATPase phospholipid transporting 8B1(ATP8B1)	ATP8B1
NM_000789	1636	Homo sapiens	angiotensin I converting enzyme(ACE)	ACE
NM_014418	27004	Homo sapiens	T-cell leukemia/lymphoma 6 (non-protein coding)(TCL6)	TCL6
NM_005604	5454	Homo sapiens	POU class 3 homeobox 2(POU3F2)	POU3F2
NM_005605	5533	Homo sapiens	protein phosphatase 3 catalytic subunit gamma(PPP3CC)	PPP3CC
NM_199242	201294	Homo sapiens	unc-13 homolog D(UNC13D)	UNC13D
NM_005606	5641	Homo sapiens	legumain(LGMN)	LGMN
NM_005600	4817	Homo sapiens	nitrilase 1(NIT1)	NIT1
NM_022820	64816	Homo sapiens	cytochrome P450 family 3 subfamily A member 43(CYP3A43)	CYP3A43
NM_005601	4818	Homo sapiens	natural killer cell granule protein 7(NKG7)	NKG7
NM_022821	64834	Homo sapiens	ELOVL fatty acid elongase 1(ELOVL1)	ELOVL1
NM_005602	5010	Homo sapiens	claudin 11(CLDN11)	CLDN11
NM_199227	254042	Homo sapiens	methionyl aminopeptidase type 1D, mitochondrial(METAP1D)	METAP1D
NM_001142653	100885848	Homo sapiens	prostaglandin E synthase 3 like(PTGES3L)	ptges3l
NM_001142654	100885848	Homo sapiens	prostaglandin E synthase 3 like(PTGES3L)	ptges3l
NM_001025580	9949	Homo sapiens	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1(AMMECR1)	AMMECR1
NM_001142651	54492	Homo sapiens	neuralized E3 ubiquitin protein ligase 1B(NEURL1B)	NEURL1B
NM_001142650	92906	Homo sapiens	heterogeneous nuclear ribonucleoprotein L like(HNRNPLL)	HNRNPLL
NM_199229	6120	Homo sapiens	ribulose-5-phosphate-3-epimerase(RPE)	RPE
NM_022835	64857	Homo sapiens	pleckstrin homology and RhoGEF domain containing G2(PLEKHG2)	PLEKHG2
NM_014402	27089	Homo sapiens	ubiquinol-cytochrome c reductase complex III subunit VII(UQCRQ)	Uqcrq
NM_000794	1812	Homo sapiens	dopamine receptor D1(DRD1)	DRD1
NM_022836	64858	Homo sapiens	DNA cross-link repair 1B(DCLRE1B)	DCLRE1B
NM_000795	1813	Homo sapiens	dopamine receptor D2(DRD2)	DRD2
NM_022833	64855	Homo sapiens	family with sequence similarity 129 member B(FAM129B)	FAM129B
NM_014400	27076	Homo sapiens	LY6/PLAUR domain containing 3(LYPD3)	LYPD3
NM_000792	1733	Homo sapiens	deiodinase, iodothyronine type I(DIO1)	DIO1
NM_022834	64856	Homo sapiens	von Willebrand factor A domain containing 1(VWA1)	VWA1
NM_000793	1734	Homo sapiens	deiodinase, iodothyronine type II(DIO2)	DIO2
NM_022839	64963	Homo sapiens	mitochondrial ribosomal protein S11(MRPS11)	MRPS11
NM_014406	150160	Homo sapiens	chaperonin containing TCP1 subunit 8 like 2(CCT8L2)	CCT8L2
NM_000798	1816	Homo sapiens	dopamine receptor D5(DRD5)	DRD5
NM_014405	27092	Homo sapiens	calcium voltage-gated channel auxiliary subunit gamma 4(CACNG4)	CACNG4
NM_000799	2056	Homo sapiens	erythropoietin(EPO)	EPO
NM_014404	27091	Homo sapiens	calcium voltage-gated channel auxiliary subunit gamma 5(CACNG5)	CACNG5
NM_000796	1814	Homo sapiens	dopamine receptor D3(DRD3)	DRD3
NM_022838	64860	Homo sapiens	armadillo repeat containing, X-linked 5(ARMCX5)	ARMCX5
NM_000797	1815	Homo sapiens	dopamine receptor D4(DRD4)	DRD4
NM_014409	27097	Homo sapiens	TATA-box binding protein associated factor 5 like(TAF5L)	TAF5L
NM_199231	2668	Homo sapiens	glial cell derived neurotrophic factor(GDNF)	GDNF
NM_014408	27095	Homo sapiens	trafficking protein particle complex 3(TRAPPC3)	TRAPPC3
NM_014407	27094	Homo sapiens	potassium calcium-activated channel subfamily M regulatory beta subunit 3(KCNMB3)	KCNMB3
NM_022831	64853	Homo sapiens	axin interactor, dorsalization associated(AIDA)	AIDA
NM_022832	64854	Homo sapiens	ubiquitin specific peptidase 46(USP46)	USP46
NM_022830	64852	Homo sapiens	terminal uridylyl transferase 1, U6 snRNA-specific(TUT1)	TUT1
NM_001142622	84514	Homo sapiens	GH3 domain containing(GHDC)	GHDC
NM_001142623	84514	Homo sapiens	GH3 domain containing(GHDC)	GHDC
NM_001142624	83871	Homo sapiens	RAB34, member RAS oncogene family(RAB34)	RAB34
NM_001142625	83871	Homo sapiens	RAB34, member RAS oncogene family(RAB34)	RAB34
NM_001142626	7253	Homo sapiens	thyroid stimulating hormone receptor(TSHR)	TSHR
NM_001142627	55176	Homo sapiens	Sec61 translocon alpha 2 subunit(SEC61A2)	SEC61A2
NM_001142628	55176	Homo sapiens	Sec61 translocon alpha 2 subunit(SEC61A2)	SEC61A2
NM_014441	27180	Homo sapiens	sialic acid binding Ig like lectin 9(SIGLEC9)	SIGLEC9
NM_014442	27181	Homo sapiens	sialic acid binding Ig like lectin 8(SIGLEC8)	SIGLEC8
NM_001142620	64220	Homo sapiens	stimulated by retinoic acid 6(STRA6)	STRA6
NM_001142621	9392	Homo sapiens	transforming growth factor beta receptor associated protein 1(TGFBRAP1)	TGFBRAP1
NM_014437	27173	Homo sapiens	solute carrier family 39 member 1(SLC39A1)	SLC39A1
NM_000764	1549	Homo sapiens	cytochrome P450 family 2 subfamily A member 7(CYP2A7)	CYP2A7
NM_014439	27178	Homo sapiens	interleukin 37(IL37)	IL37
NM_000765	1551	Homo sapiens	cytochrome P450 family 3 subfamily A member 7(CYP3A7)	CYP3A7
NM_014438	27177	Homo sapiens	interleukin 36, beta(IL36B)	IL36B
NM_000766	1553	Homo sapiens	cytochrome P450 family 2 subfamily A member 13(CYP2A13)	CYP2A13
NM_014433	27156	Homo sapiens	radial spoke head 14 homolog(RSPH14)	RSPH14
NM_000760	1441	Homo sapiens	colony stimulating factor 3 receptor(CSF3R)	CSF3R
NM_022845	865	Homo sapiens	core-binding factor beta subunit(CBFB)	CBFB
NM_014432	53832	Homo sapiens	interleukin 20 receptor subunit alpha(IL20RA)	IL20RA
NM_014435	27163	Homo sapiens	N-acylethanolamine acid amidase(NAAA)	NAAA
NM_000761	1544	Homo sapiens	cytochrome P450 family 1 subfamily A member 2(CYP1A2)	Cyp1a2
NM_014434	27158	Homo sapiens	NADPH dependent diflavin oxidoreductase 1(NDOR1)	NDOR1
NM_001109891	5595	Homo sapiens	mitogen-activated protein kinase 3(MAPK3)	MAPK3
NM_000762	1548	Homo sapiens	cytochrome P450 family 2 subfamily A member 6(CYP2A6)	CYP2A6
NM_022840	64863	Homo sapiens	methyltransferase like 4(METTL4)	METTL4
NM_001142619	64220	Homo sapiens	stimulated by retinoic acid 6(STRA6)	STRA6
NM_022841	64864	Homo sapiens	regulatory factor X7(RFX7)	RFX7
NM_022842	64866	Homo sapiens	CUB domain containing protein 1(CDCP1)	CDCP1
NM_022843	64881	Homo sapiens	protocadherin 20(PCDH20)	pcdh20
NM_000767	1555	Homo sapiens	cytochrome P450 family 2 subfamily B member 6(CYP2B6)	cyp2b6
NM_199202	51298	Homo sapiens	theg spermatid protein(THEG)	THEG
NM_001142633	23533	Homo sapiens	phosphoinositide-3-kinase regulatory subunit 5(PIK3R5)	PIK3R5
NM_001142634	245711	Homo sapiens	speedy/RINGO cell cycle regulator family member A(SPDYA)	spdya
NM_199206	9623	Homo sapiens	T-cell leukemia/lymphoma 1B(TCL1B)	TCL1B
NM_199205	57805	Homo sapiens	cell cycle and apoptosis regulator 2(CCAR2)	CCAR2
NM_199204	10170	Homo sapiens	dehydrogenase/reductase 9(DHRS9)	DHRS9
NM_199203	387522	Homo sapiens	TMEM189-UBE2V1 readthrough(TMEM189-UBE2V1)	TMEM189-UBE2V1
NM_014430	27141	Homo sapiens	cell death-inducing DFFA-like effector b(CIDEB)	CIDEB
NM_000780	1581	Homo sapiens	cytochrome P450 family 7 subfamily A member 1(CYP7A1)	CYP7A1
NM_014431	27143	Homo sapiens	phosphatase domain containing, paladin 1(PALD1)	PALD1
NM_014428	27134	Homo sapiens	tight junction protein 3(TJP3)	TJP3
NM_014427	27132	Homo sapiens	copine 7(CPNE7)	CPNE7
NM_000777	1577	Homo sapiens	cytochrome P450 family 3 subfamily A member 5(CYP3A5)	cyp3a5
NM_014426	27131	Homo sapiens	sorting nexin 5(SNX5)	SNX5
NM_014425	27130	Homo sapiens	inversin(INVS)	INVS
NM_000775	1573	Homo sapiens	cytochrome P450 family 2 subfamily J member 2(CYP2J2)	CYP2J2
NM_014424	27129	Homo sapiens	heat shock protein family B (small) member 7(HSPB7)	HSPB7
NM_000772	1562	Homo sapiens	cytochrome P450 family 2 subfamily C member 18(CYP2C18)	CYP2C18
NM_014423	27125	Homo sapiens	AF4/FMR2 family member 4(AFF4)	AFF4
NM_000773	1571	Homo sapiens	cytochrome P450 family 2 subfamily E member 1(CYP2E1)	CYP2E1
NM_000770	1558	Homo sapiens	cytochrome P450 family 2 subfamily C member 8(CYP2C8)	CYP2C8
NM_014421	27123	Homo sapiens	dickkopf WNT signaling pathway inhibitor 2(DKK2)	DKK2
NM_000771	1559	Homo sapiens	cytochrome P450 family 2 subfamily C member 9(CYP2C9)	CYP2C9
NM_000778	1579	Homo sapiens	cytochrome P450 family 4 subfamily A member 11(CYP4A11)	CYP4A11
NM_014429	27136	Homo sapiens	MORC family CW-type zinc finger 1(MORC1)	MORC1
NM_000779	1580	Homo sapiens	cytochrome P450 family 4 subfamily B member 1(CYP4B1)	CYP4B1
NM_001142685	9743	Homo sapiens	Rho GTPase activating protein 32(ARHGAP32)	ARHGAP32
NM_001008274	493829	Homo sapiens	tripartite motif containing 72(TRIM72)	TRIM72
NM_001142684	9205	Homo sapiens	zinc finger MYM-type containing 5(ZMYM5)	ZMYM5
NM_001142680	196527	Homo sapiens	anoctamin 6(ANO6)	ANO6
NM_001142683	79635	Homo sapiens	coiled-coil domain containing 121(CCDC121)	CCDC121
NM_001142682	79635	Homo sapiens	coiled-coil domain containing 121(CCDC121)	CCDC121
NM_001163034	57521	Homo sapiens	regulatory associated protein of MTOR complex 1(RPTOR)	RPTOR
NM_001008270	136242	Homo sapiens	protease, serine 37(PRSS37)	PRSS37
NM_001008273	29114	Homo sapiens	transgelin 3(TAGLN3)	TAGLN3
NM_001008272	29114	Homo sapiens	transgelin 3(TAGLN3)	TAGLN3
NM_000746	1139	Homo sapiens	cholinergic receptor nicotinic alpha 7 subunit(CHRNA7)	CHRNA7
NM_000745	1138	Homo sapiens	cholinergic receptor nicotinic alpha 5 subunit(CHRNA5)	CHRNA5
